#                  EYR
#     Geographical latitude:     -43.474
#     Geographical longitude:    172.393

# K-index values for 2016    (K9-limit = 500 nT)

STA  YR MTH DAY 1  2  3  4  5  6  7  8

EYR 2016 01 01  3  4  3  2  2  0  2  2
EYR 2016 01 02  3  2  3  2  2  2  2  1
EYR 2016 01 03  1  3  2  2  1  2  2  2
EYR 2016 01 04  2  1  2  1  1  2  2  2
EYR 2016 01 05  2  2  2  2  1  2  2  2
EYR 2016 01 06  3  2  3  4  3  2  3  2
EYR 2016 01 07  3  3  2  4  2  2  1  2
EYR 2016 01 08  2  2  2  2  3  2  2  2
EYR 2016 01 09  2  2  1  1  1  1  1  1
EYR 2016 01 10  1  2  2  2  2  2  1  2
EYR 2016 01 11  1  3  3  2  2  2  3  3
EYR 2016 01 12  3  2  3  2  2  2  2  2
EYR 2016 01 13  3  4  2  2  3  2  2  1
EYR 2016 01 14  2  2  3  3  2  2  2  2
EYR 2016 01 15  2  2  1  1  1  1  1  1
EYR 2016 01 16  1  2  1  2  2  0  1  1
EYR 2016 01 17  1  1  2  2  1  1  2  2
EYR 2016 01 18  1  0  0  0  1  0  0  2
EYR 2016 01 19  3  3  4  3  1  1  1  2
EYR 2016 01 20  2  2  2  3  4  4  3  3
EYR 2016 01 21  3  5  3  4  3  3  3  3
EYR 2016 01 22  3  3  2  3  2  1  2  2
EYR 2016 01 23  2  3  3  1  2  2  2 -1
EYR 2016 01 24 -1  2  1  1  2  2  3  1
EYR 2016 01 25 -1 -1 -1 -1 -1 -1 -1 -1
EYR 2016 01 26 -1 -1 -1 -1 -1 -1 -1 -1
EYR 2016 01 27  2  3  2  2  0  1  1  1
EYR 2016 01 28  1  1  3  3  1  1  1  1
EYR 2016 01 29  1  1  1  1  1  1  1  1
EYR 2016 01 30  1  0  2  1 -1  0  1  2
EYR 2016 01 31 -1  2  2 -1  1  1 -1 -1
EYR 2016 02 01 -1 -1 -1 -1 -1 -1 -1 -1
EYR 2016 02 02 -1 -1  1  1  1  2 -1 -1
EYR 2016 02 03  3  3  2  1  0  1  1  1
EYR 2016 02 04  1  1  1  1  3  1  1  2
EYR 2016 02 05  3  3  2  2  2  2  3  2
EYR 2016 02 06  2  2  2  2  2  1  2  2
EYR 2016 02 07 -1 -1 -1  2  2  3  1  2
EYR 2016 02 08 -1 -1 -1 -1  1  2  1  1
EYR 2016 02 09 -1 -1 -1 -1 -1 -1 -1 -1
EYR 2016 02 10 -1 -1  1  0  0  0  1  1
EYR 2016 02 11  2  1  2  2  3  1  2  3
EYR 2016 02 12 -1  2  2  3  3  1  2  2
EYR 2016 02 13  2  3  4  2  1  0  1  1
EYR 2016 02 14  1  2  2  3  2  3  1  1
EYR 2016 02 15  1  2  3  2  1  0  2  2
EYR 2016 02 16  3  2  4  4  5  4  4 -1
EYR 2016 02 17  4  3  4  2 -1 -1 -1 -1
EYR 2016 02 18  3  4  4  4  3  3  4  3
EYR 2016 02 19  2  2  3  3  3  3  3  1
EYR 2016 02 20  2  1  2  0  1  1  1  1
EYR 2016 02 21  0  2  0  0  1  0  1  0
EYR 2016 02 22  0  0  0  1  0  1  1 -1
EYR 2016 02 23  1  1  0  0  0  0  2  2
EYR 2016 02 24  2  2  2  2  2  0  1 -1
EYR 2016 02 25 -1 -1  1  2  1  0  1  2
EYR 2016 02 26  3  3  1  0  1  0  1  0
EYR 2016 02 27  0  1  1  2  0  0  1  1
EYR 2016 02 28  2  0  1  1  1  0  1  1
EYR 2016 02 29 -1 -1 -1 -1 -1 -1 -1 -1
EYR 2016 03 01  2  3  2  2  1  1  0  2
EYR 2016 03 02 -1  2  2  2  2  2  1  1
EYR 2016 03 03  1  2  2  3  2  1  1  1
EYR 2016 03 04  2  1  0  1  0  0  0  0
EYR 2016 03 05 -1 -1 -1 -1 -1 -1 -1 -1
EYR 2016 03 06 -1 -1 -1 -1 -1 -1 -1 -1
EYR 2016 03 07 -1  3  3  3  3  2  2  2
EYR 2016 03 08  1  1  1  2  2  1  1  1
EYR 2016 03 09  1  1  2  3  2  2  1 -1
EYR 2016 03 10  1  2  1  2  2  2  1  0
EYR 2016 03 11  1  3  3  3  4  2  3  2
EYR 2016 03 12  2  2  2  1  1  2  2  1
EYR 2016 03 13  1  2  2  1  1  0  0  1
EYR 2016 03 14  0  0  2  1  0  1  3  4
EYR 2016 03 15  3  3  4  3  1  2  3  2
EYR 2016 03 16  4  2  2  3  3  1  2  2
EYR 2016 03 17  2  4  3  4  2  2  2  2
EYR 2016 03 18  1  1  2  3  3  3  1  1
EYR 2016 03 19  1  2  3  5  4  3  2  0
EYR 2016 03 20  1  2  2  2  3  3  3  1
EYR 2016 03 21  2  1  3  2  1  1  1  1
EYR 2016 03 22  2  1  2  3  1  0  1  1
EYR 2016 03 23  2  2  3  2  1  1  1  1
EYR 2016 03 24  1  0  1  1  1  1  1  1
EYR 2016 03 25  2  1  0  1  1  0  0  0
